,Pós-venda/Cancelado/Devolvido,Nº de Pedido da Plataforma,Custo Médio,SKU,SKU (Armazém)
1654,Ocorreu,582637825224050097,10.0,ME-10-Coelho-35-40,ME-10-Coelho-35-40
1655,Ocorreu,582637823425808015,10.0,ME-10-Unicornio-35-40,ME-10-Unicornio-35-40
1656,Ocorreu,582637823425808015,10.0,ME-10-Coelho-35-40,ME-10-Coelho-35-40
1657,Ocorreu,582637773364692020,10.0,ME-10-Coelho-35-40,ME-10-Coelho-35-40
1658,Cancelado,582637792910411525,10.0,ME-10-Unicornio-35-40,ME-10-Unicornio-35-40
1659,Cancelado,582637792910411525,10.0,ME-10-Coelho-35-40,ME-10-Coelho-35-40
1660,Ocorreu,582637804271077272,10.0,ME-10-Cachorro-Rosa-35-40,ME-10-Cachorro-Rosa-35-40
1661,Ocorreu,582637792769247184,25.0,21009-43,21009-43
1662,Cancelado,582637802456319820,10.0,ME-10-Cachorro-Rosa-35-40,ME-10-Cachorro-Rosa-35-40
1663,Cancelado,582637802456319820,10.0,ME-10-Coelho-35-40,ME-10-Coelho-35-40
1664,Ocorreu,582637783915792201,10.0,ME-10-Cachorro- Caramelo-35-40,ME-10-Cachorro- Caramelo-35-40
1665,Ocorreu,582637783915792201,10.0,ME-10-Cachorro-Rosa-35-40,ME-10-Cachorro-Rosa-35-40
1666,Ocorreu,582637783915792201,10.0,ME-10-Coelho-35-40,ME-10-Coelho-35-40
1667,Ocorreu,582637783915792201,10.0,ME-10-Coelho-Rosa-35-40,ME-10-Coelho-Rosa-35-40
1668,Ocorreu,582637783915792201,10.0,ME-10-Coelho-Rosa-35-40,ME-10-Coelho-Rosa-35-40
1669,Ocorreu,582637782728869181,10.0,ME-10-Cachorro-Rosa-35-40,ME-10-Cachorro-Rosa-35-40
1670,Ocorreu,582637783874766567,10.0,ME-10-Unicornio-35-40,ME-10-Unicornio-35-40
1671,Ocorreu,582637783874766567,10.0,ME-10-Coelho-35-40,ME-10-Coelho-35-40
1672,Ocorreu,582637802230941639,10.0,ME-10-Cachorro-Rosa-35-40,ME-10-Cachorro-Rosa-35-40
1673,Ocorreu,582637802230941639,10.0,ME-10-Coelho-35-40,ME-10-Coelho-35-40
1674,Ocorreu,582637753748129511,10.0,ME-10-Cachorro- Caramelo-35-40,ME-10-Cachorro- Caramelo-35-40
1675,Cancelado,582637779628230405,10.0,ME-10-Coelho-35-40,ME-10-Coelho-35-40
1676,Ocorreu,582637723012728021,25.2632,21009-42,21009-42
1677,Ocorreu,582637724115502476,10.0,ME-10-Robô-35-40,ME-10-Robô-35-40
1678,Cancelado,582637730699904138,10.0,ME-10-Coelho-35-40,ME-10-Coelho-35-40
1679,Cancelado,582637730699904138,10.0,ME-10-Robô-35-40,ME-10-Robô-35-40
1680,Ocorreu,582637733127751411,10.0,ME-10-Coelho-35-40,ME-10-Coelho-35-40
1681,Ocorreu,582637733127751411,10.0,ME-10-Doce-35-40,ME-10-Doce-35-40
1682,Ocorreu,582637731281798450,10.0,ME-10-Cachorro-Rosa-35-40,ME-10-Cachorro-Rosa-35-40
1683,Ocorreu,582637738515596782,10.0,ME-10-Coelho-35-40,ME-10-Coelho-35-40
1684,Ocorreu,582637711575975110,10.0,ME-10-Cachorro- Caramelo-35-40,ME-10-Cachorro- Caramelo-35-40
1685,Ocorreu,582637773631816887,10.0,ME-10-Cachorro- Caramelo-35-40,ME-10-Cachorro- Caramelo-35-40
1686,Ocorreu,582637717052229528,10.0,ME-10-Cachorro-Rosa-35-40,ME-10-Cachorro-Rosa-35-40
1687,Ocorreu,582637710426342476,10.0,ME-10-Corrida-35-40,ME-10-Corrida-35-40
1688,Ocorreu,582637691375879627,10.0,ME-10-Cachorro-Rosa-35-40,ME-10-Cachorro-Rosa-35-40
1689,Ocorreu,582637725848733560,10.0,ME-10-Cachorro-Rosa-35-40,ME-10-Cachorro-Rosa-35-40
1690,Cancelado,582637699222898087,10.0,ME-10-Cachorro- Caramelo-35-40,ME-10-Cachorro- Caramelo-35-40
1691,Ocorreu,582637664684771138,10.0,ME-10-Cachorro-Rosa-35-40,ME-10-Cachorro-Rosa-35-40
1692,Ocorreu,582637674568189282,10.0,ME-10-Robô-35-40,ME-10-Robô-35-40
1693,Ocorreu,582637674568189282,10.0,ME-10-Tubarão-35-40,ME-10-Tubarão-35-40
1694,Ocorreu,582637705417426379,10.0,ME-10-Coelho-35-40,ME-10-Coelho-35-40
1695,Ocorreu,582637702850774590,10.0,ME-10-Cachorro- Caramelo-35-40,ME-10-Cachorro- Caramelo-35-40
