,ID do pedido/ajuste,Valor total a ser liquidado,Data do demonstrativo
3796,582414270959683382,-2.62,2026/02/07
3797,582394115655108018,-0.59,2026/02/07
3798,582389273230738925,-2.62,2026/02/07
3799,582387311897576535,-2.62,2026/02/07
3816,582308549995955791,-2.63,2026/02/07
3845,582268248372709101,-2.45,2026/02/07
3885,582260872244266467,-2.45,2026/02/07
3913,582401394497390125,-2.62,2026/02/06
3914,582374646724003405,-2.62,2026/02/06
3945,582323552239322313,-2.63,2026/02/06
3954,582308526515193112,-2.63,2026/02/06
3981,582276142401029645,-19.35,2026/02/06
3982,582275809712048072,-2.45,2026/02/06
4047,582260879083603041,-7.29,2026/02/06
4098,582337212871116779,-2.63,2026/02/05
4203,582260913658430537,-2.45,2026/02/05
4212,582260851794150971,-2.45,2026/02/05
4233,582260706387723573,-25.05,2026/02/05
4260,582356887747987170,-2.62,2026/02/04
4277,582276005217535297,-12.58,2026/02/04
4323,582261050718521050,-2.49,2026/02/04
4350,582260754764760850,-2.48,2026/02/04
4376,582237779665847399,-13.2,2026/02/04
4386,582277542480283042,-2.45,2026/02/03
4394,582274574612793030,-2.45,2026/02/03
4398,582262047239079717,-2.45,2026/02/03
4400,582261813548975138,-2.45,2026/02/03
4404,582261492316669831,-2.45,2026/02/03
4414,582261117560719137,-2.45,2026/02/03
4420,582260928390399797,-2.45,2026/02/03
4430,582260726449276483,-2.45,2026/02/03
4449,582310993179346707,-2.63,2026/02/02
4456,582237568271746100,-10.2,2026/02/02
4470,582349459823298258,-2.62,2026/02/01
4471,582336839888241726,-10.18,2026/02/01
4472,582276438622438773,-2.45,2026/02/01
4473,582274415357429337,-2.45,2026/02/01
4477,582274166880241167,-2.45,2026/01/31
4478,582261228392776715,-2.63,2026/01/31
4479,582261107774817453,-2.45,2026/01/31
4480,582260995734864907,-2.45,2026/01/31
4481,582260822360033273,-2.45,2026/01/31
4497,582200835595928947,-23.49,2026/01/31
4505,582273397464598493,-2.45,2026/01/30
4506,582260569077613890,-2.45,2026/01/30
4507,582245370456147102,-11.23,2026/01/30
4508,582237429610547137,-8.4,2026/01/30
4538,582273564990736380,-12.95,2026/01/29
4539,582261426676467205,-2.45,2026/01/29
4568,582200835595928947,-17.88,2026/01/28
4572,582184709538284547,-10.36,2026/01/28
4585,582229971022742950,-7.78,2026/01/27
4630,582098794616096458,-9.6,2026/01/22
4650,582118716010890611,-13.32,2026/01/20
4680,581996168392312384,-0.58,2026/01/14
4683,581999095673947991,-11.56,2026/01/13
