,Order ID,Package ID,Quantity,SKU Subtotal After Discount,SKU Unit Original Price,SKU Subtotal Before Discount,Sku Quantity of return,Seller SKU
1931,582622692890085317,Cancelado,1,39.6,110.0,110.0,1,21011-42
1932,582622713934350277,1186188451648341957,1,39.6,110.0,110.0,1,21009-43
1933,582622689386137598,1186188333915604990,1,39.6,110.0,110.0,0,21007-40
1934,582622633814885941,1186187265976731189,1,18.9,35.0,35.0,0,ME-10-Coelho-35-40
1935,582622604028904912,1186187253244331472,1,39.6,110.0,110.0,0,21009-42
1936,582622571576984995,1186187202316699043,1,39.6,110.0,110.0,0,21007-41
1937,582622537614657022,1186186250471704062,2,77.44,110.0,220.0,0,210007-40
1938,582622531756722021,1186186587442939749,1,38.41,110.0,110.0,0,21011-41
1939,582622463568544943,1186186132721861807,1,42.68,110.0,110.0,0,21011-42
1940,582622463242569276,1186185924907337276,1,18.9,35.0,35.0,0,ME-10-Cachorro- Caramelo-35-40
1941,582622493146712035,1186185913930713059,1,9.18,17.0,17.0,0,PEBCN-BBML 12-24-12-24
1942,582622456583456444,1186185465221514940,1,39.6,110.0,110.0,0,21009-44
1943,582622456443406243,Cancelado,1,39.6,110.0,110.0,1,21007-36
1944,582622418166843312,1186185540497344432,1,39.6,110.0,110.0,0,21011-42
1945,582622388386432789,1186184919285729045,1,9.18,17.0,17.0,0,PEBCN-BBML 12-24-12-24
1946,582622368584860812,1186184775615743116,1,18.9,35.0,35.0,0,ME-10-Cachorro- Caramelo-35-40
1947,582622296247469550,1186184316080588270,1,18.48,35.0,35.0,0,ME-10-Cachorro-Rosa-35-40
1948,582622296247469550,1186184316080588270,1,18.48,35.0,35.0,0,ME-10-Coelho-35-40
1949,582622256358786540,Cancelado,1,9.18,17.0,17.0,1,PEBCN-BBML 12-24-12-24
1950,582622175562728818,1186183809531676018,1,18.9,35.0,35.0,0,ME-10-Cachorro-Rosa-35-40
1951,582622139318568925,1186182816073091037,1,18.9,35.0,35.0,0,ME-10-Cachorro-Rosa-35-40
1952,582622073026938308,1185286916671768004,1,9.18,17.0,17.0,0,PEBCN-BBML 12-24-12-24
1953,582621943116629373,1186181955079603581,1,18.9,35.0,35.0,0,ME-10-Cachorro-Rosa-35-40
1954,582621927378945351,1186181668523574599,1,28.62,53.0,53.0,0,PC-SQ-EMCA
1955,582621869568329708,1186181377680902124,1,18.33,35.0,35.0,0,ME-10-Cachorro- Caramelo-35-40
1956,582621867009476044,1186181307021297100,1,17.92,35.0,35.0,0,ME-10-Unicornio-35-40
1957,582621867009476044,1186181307021297100,1,17.93,35.0,35.0,0,ME-10-Coelho-35-40
1958,582621828025385987,1186181043176047619,1,18.9,35.0,35.0,0,ME-10-Cachorro-Rosa-35-40
1959,582621777156867941,1186180811406870373,1,18.9,35.0,35.0,0,ME-10-Coelho-35-40
1960,582621737205793958,1186180683276911782,1,18.9,35.0,35.0,0,ME-10-Cachorro-Rosa-35-40
1961,582621765265294399,1186180737289520191,1,18.9,35.0,35.0,0,ME-10-Cachorro-Rosa-35-40
1962,582566963578045509,1186180474203702341,1,18.9,35.0,35.0,0,ME-10-Cachorro-Rosa-35-40
1963,582621712095937729,1186180387610657985,1,39.6,110.0,110.0,0,21007-41
1964,582621712482141716,Cancelado,1,18.9,35.0,35.0,1,ME-10-Cachorro-Rosa-35-40
1965,582621713021961616,1186180350912202128,2,86.24,110.0,220.0,0,21008-37
1966,582621708103877769,1186180353681884297,1,39.6,110.0,110.0,0,21008-36
1967,582621694131734411,1186180211889309579,1,18.9,35.0,35.0,0,ME-10-Cachorro- Caramelo-35-40
1968,582621684679083364,Cancelado,1,18.9,35.0,35.0,1,ME-10-Cachorro-Rosa-35-40
1969,582621694917117833,1186180145348577161,1,18.9,35.0,35.0,1,ME-10-Cachorro-Rosa-35-40
1970,582621662420370448,Cancelado,1,18.9,35.0,35.0,1,ME-10-Cachorro-Rosa-35-40
1971,582621678180206139,1186180026656654907,1,39.6,110.0,110.0,0,21007-41
1972,582621675237574209,1186180032902432321,1,18.9,35.0,35.0,0,ME-10-Coelho-35-40
1973,582621641517270267,1186179946292151547,1,18.9,35.0,35.0,0,ME-10-Coelho-35-40
1974,582621643663050094,1186179882794321262,1,17.93,35.0,35.0,0,ME-10-Cachorro-Rosa-35-40
1975,582621643663050094,1186179882794321262,2,35.85,35.0,70.0,0,ME-10-Coelho-35-40
1976,582621665013826725,1186179916522030245,1,18.48,35.0,35.0,0,ME-10-Cachorro-Rosa-35-40
1977,582621665013826725,1186179916522030245,1,18.48,35.0,35.0,0,ME-10-Unicornio-35-40
1978,582621655018276670,1186179849477785406,1,18.9,35.0,35.0,0,ME-10-Cachorro-Rosa-35-40
1979,582621649940612406,1186179788938642742,1,18.48,35.0,35.0,0,ME-10-Cachorro-Rosa-35-40
1980,582621649940612406,1186179788938642742,1,18.48,35.0,35.0,0,ME-10-Coelho-35-40
1981,582621603915465824,1186179703121020000,1,18.9,35.0,35.0,0,ME-10-Cachorro-Rosa-35-40
1982,582621601535526422,1186179699564316182,1,18.9,35.0,35.0,0,ME-10-Cachorro-Rosa-35-40
1983,582621581169035095,1186179553669646167,1,18.9,35.0,35.0,0,ME-10-Cachorro-Rosa-35-40
1984,582621588003784513,1186179518263953217,1,18.9,35.0,35.0,0,ME-10-Cachorro- Caramelo-35-40
1985,582621589013825453,1186179401861597101,1,18.9,35.0,35.0,0,ME-10-Unicornio-35-40
1986,582621584170320930,1186179471305245730,1,18.9,35.0,35.0,0,ME-10-Cachorro- Caramelo-35-40
1987,582621563579368666,1186179323306018010,1,39.42,73.0,73.0,0,21003-36
1988,582621531626112729,1186179111069648601,1,39.42,73.0,73.0,0,21002-38
1989,582621530498238095,1186179076931749519,1,39.42,73.0,73.0,0,21001-38
1990,582621488416196256,1186178746652460704,1,18.9,35.0,35.0,0,ME-10-Coelho-35-40
1991,582621434025641385,1186178606599275945,1,18.9,35.0,35.0,0,ME-10-Cachorro-Rosa-35-40
1992,582621435110852441,Cancelado,1,18.9,35.0,35.0,1,ME-10-Tubarão-35-40
1993,582621428943520940,1186178362203407532,1,18.9,35.0,35.0,0,ME-10-Cachorro-Rosa-35-40
1994,582621392225929171,1186178183299565523,1,21.0,35.0,35.0,0,ME-10-Coelho-35-40
1995,582621337555011539,1186178088139786195,1,18.9,35.0,35.0,0,ME-10-Coelho-35-40
1996,582621242129483605,Cancelado,1,18.9,35.0,35.0,1,ME-10-Cachorro- Caramelo-35-40
1997,582621208276797182,1186177213698574078,1,39.6,110.0,110.0,0,21009-44
1998,582621149525870418,1186176868301244242,1,9.18,17.0,17.0,0,PEBCN-BBML 12-24-12-24
1999,582621067737269545,1186177212958016809,1,9.18,17.0,17.0,0,PEBCN-BBML 12-24-12-24
2000,582621008274032130,1186176079129970178,1,10.9,35.0,35.0,0,ME-10-Doce-35-40
2001,582620994371159599,1186175989210449455,1,18.9,35.0,35.0,1,ME-10-Cachorro- Caramelo-35-40
2002,582620990472750145,1186176136176895041,1,18.9,35.0,35.0,0,ME-10-Tubarão-35-40
2003,582620968029489072,1186175965950478256,1,18.9,35.0,35.0,0,ME-10-Unicornio-35-40
2004,582620916053477209,1186175408141338457,1,18.9,35.0,35.0,0,ME-10-Coelho-35-40
2005,582620843789747814,1186175248003663462,1,11.34,21.0,21.0,0,SQ-EMCA-Cinza-Preta-Branco-40-46
2006,582620820072924903,1186175098505299687,1,18.9,35.0,35.0,0,ME-10-Doce-35-40
2007,582620753771923193,1186174505411249913,1,18.9,35.0,35.0,0,ME-10-Cachorro-Rosa-35-40
2008,582620342825813002,1186173009864262666,1,39.6,110.0,110.0,0,21009-40
2009,582620335248082674,1186172746786768626,1,18.9,35.0,35.0,0,ME-10-Cachorro- Caramelo-35-40
2010,582620259614688317,1186172138615637053,1,21.0,35.0,35.0,0,ME-10-Coelho-35-40
2011,582620203192714699,1186172299904714187,1,28.62,53.0,53.0,0,PC-SQ-EMCA
2012,582620151477404783,1186172066307277935,1,17.86,35.0,35.0,0,ME-10-Unicornio-35-40
2013,582620144464200765,1186171934466671677,1,18.9,35.0,35.0,0,ME-10-Coelho-35-40
2014,582619776277185662,1186170206431052926,1,10.2,17.0,17.0,0,PEBCN-BBML 12-24-12-24
2015,582619774487200894,Cancelado,2,17.95,17.0,34.0,2,PEBCN-BBML 12-24-12-24
2016,582619759852160105,1186170000962126953,1,18.9,35.0,35.0,0,ME-10-Cachorro-Rosa-35-40
2017,582619399978714198,1186168647037977686,1,29.7,110.0,110.0,0,21007-41
2018,582619247442822230,1186167898755466326,1,29.7,110.0,110.0,1,21011-41
2019,582619215541666878,1186167973856511038,1,18.48,35.0,35.0,0,ME-10-Cachorro- Caramelo-35-40
2020,582619215541666878,1186167973856511038,1,18.48,35.0,35.0,0,ME-10-Unicornio-35-40
2021,582619190808184013,1186167955931169997,1,18.9,35.0,35.0,0,ME-10-Cachorro- Caramelo-35-40
2022,582619188858816090,1186167858231805530,1,18.9,35.0,35.0,0,ME-10-Coelho-35-40
2023,582619094944482922,1186167665268459114,1,29.7,110.0,110.0,0,21009-42
2024,582619028823311867,1186167536768091643,1,9.18,17.0,17.0,0,PEBCN-BBML 12-24-12-24
2025,582619010147255365,1186167285591213125,1,18.48,35.0,35.0,0,ME-10-Coelho-35-40
2026,582619010147255365,1186167285591213125,1,18.48,35.0,35.0,0,ME-10-Doce-35-40
2027,582619089286628859,1186167613723477499,1,18.33,35.0,35.0,0,ME-10-Cachorro-Rosa-35-40
2028,582618179381659490,1186164193139722082,1,13.7,35.0,35.0,1,ME-10-Cachorro- Caramelo-35-40
2029,582618179381659490,1186164193139722082,1,13.7,35.0,35.0,1,ME-10-Unicornio-35-40
2030,582618179381659490,1186164193139722082,1,13.71,35.0,35.0,1,ME-10-Coelho-35-40
2031,582618179381659490,1186164193139722082,1,13.7,35.0,35.0,1,ME-10-Bailarina-35-40
2032,582617559939843903,1186161173962524479,1,29.7,110.0,110.0,0,21011-42
2033,582617518066664535,1186160664337744983,1,11.34,21.0,21.0,0,SQ-EMCA-Chumbo-Cinza-Preta-40-46
2034,582617242335085923,1186159674037798243,1,18.9,35.0,35.0,0,ME-10-Corrida-35-40
2035,582616990135452733,1186158906837533757,1,39.6,110.0,110.0,0,21009-42
2036,582616928398247716,1186158246361663268,1,39.6,110.0,110.0,0,21008-37
2037,582616816484124005,1186157192085210469,1,18.27,35.0,35.0,0,ME-10-Coelho-35-40
2038,582616816484124005,1186157192085210469,1,18.27,35.0,35.0,0,ME-10-Corrida-35-40
2039,582616816484124005,1186157192085210469,1,18.27,35.0,35.0,0,ME-10-Robô-35-40
2040,582616816484124005,1186157192085210469,1,18.27,35.0,35.0,0,ME-10-Tubarão-35-40
2041,582616816484124005,1186157192085210469,1,18.27,35.0,35.0,0,ME-10-Cachorro- Caramelo-35-40
2042,582616816484124005,1186157192085210469,1,18.27,35.0,35.0,0,ME-10-Unicornio-35-40
2043,582616639484692046,Cancelado,1,39.6,110.0,110.0,1,21008-41
2044,582616333301155514,1186155519397627578,1,9.18,17.0,17.0,0,PEBCN-BBML 12-24-12-24
2045,582616193690142510,1186154610281973550,1,18.9,35.0,35.0,0,ME-10-Coelho-35-40
2046,582616126653368077,1186153834042066701,1,39.6,110.0,110.0,0,21011-41
2047,582615975091013086,1186153877441512926,1,38.41,110.0,110.0,0,21011-43
2048,582616009345041627,1186153190867305691,1,39.6,110.0,110.0,0,21011-41
2049,582615802637812833,1186152568639292513,1,39.6,110.0,110.0,0,21009-42
2050,582615713789871112,1186152514389574664,1,13.7,35.0,35.0,0,ME-10-Cachorro-Rosa-35-40
2051,582615713789871112,1186152514389574664,1,13.71,35.0,35.0,0,ME-10-Unicornio-35-40
2052,582615713789871112,1186152514389574664,1,13.7,35.0,35.0,0,ME-10-Coelho-35-40
2053,582615713789871112,1186152514389574664,1,13.7,35.0,35.0,0,ME-10-Cachorro- Caramelo-35-40
2054,582615631487600588,1186151965325625292,1,29.7,110.0,110.0,0,21011-41
2055,582615584854803821,1186150996143998317,2,36.96,35.0,70.0,0,ME-10-Coelho-35-40
2056,582615462718113391,1186150772753925743,1,38.41,110.0,110.0,0,21009-44
2057,582615094613935348,1186148082561680628,1,18.9,35.0,35.0,0,ME-10-Unicornio-35-40
2058,582614927354660348,1186147353209374204,1,44.0,110.0,110.0,0,21009-42
2059,582613791893522264,1186140053577107288,1,9.18,17.0,17.0,0,PEBCN-BBML 12-24-12-24
2060,582611824148776716,1186126766027409164,1,18.33,35.0,35.0,0,ME-10-Cachorro- Caramelo-35-40
2061,582611254283437142,1186529588686980182,1,18.9,35.0,35.0,0,ME-10-Coelho-35-40
