,SKU,SKU Seller,Custo Médio
134,MA-M-Preto+Branco-2 Pares-40-46,MA-M-Preto+Branco-40-46-2 Par,5.8332
135,MA-M-Preto+Branco-2 Pares-40-46,MA-M-Preto+Branco-2 Pares-40-46,5.8332
136,MASG-MC-Branco-38-46-Kit 6 Pares,MASG-MC-Branco-38-46-Kit 6 Pares,37.1922
137,MASG-MC-Azul Escuro-38-46-Kit 6 Pares,MASG-MC-Azul Escuro-38-46-Kit 6 Pares,37.3008
138,MASG-MC-Azul-38-46-Kit 6 Pares,MASG-MC-Azul-38-46-Kit 6 Pares,37.284000000000006
139,MALG-MC-Branco-40-46-Kit 12 Pares,MALG-MC-Branco-40-46-Kit 12 Pares,50.01480000000001
140,QS-LM-M02-Branca+Branca-37-42,QS-LM-M02-Branca+Branca-37-42,12.0
141,QS-LM-M02-Branca+Branca-37-42,01-QS-LM-02-BRANCO,12.0
142,ME-10-Sereia-35-40,ME-10-SEREIA,12.0
143,ME-10-Sereia-35-40,ME-10-Sereia-35-40,12.0
144,QS-LM-M02-Chumbo+Branco,QS-LM-M02-Chumbo-Branco-40-46,12.0
145,QS-LM-M02-Chumbo+Branco,QS-LM-M02-Chumbo+Branco,12.0
146,QS-LM-M02-Chumbo+Branco,QS-LM-M02-Branca+Chumbo-37-42,12.0
147,ME-10-1 De cada total 3-32-40-3 Pares,ME-10-3PARES-ALEATÓRIO-FEMININO,30.0
148,ME-10-1 De cada total 3-32-40-3 Pares,ME-10-1 DE CADA 3 TOTAL,30.0
149,ME-10-1 De cada total 3-32-40-3 Pares,ME-10-1 De cada total 3-32-40-3 Pares,30.0
150,ME-10-1 De cada total 3-32-40-3 Pares,ME-10-1 De cada total 3-32-40-3 Pares,30.0
151,ME-10-1 De cada total 3-32-40-3 Pares,ME-10-1 De cada total 3-32-40-3 Pares,30.0
152,MALG-M01-5-CORES,MALG-M01-Preta-38-46-5 Pares,20.8387
153,MALG-M01-5-CORES,MALG-M01-5 Cores-38-46-5 Pares,20.8387
154,QS-LM-M02-Preto+Chumbo-37-42,QS-LM-M02-Chumbo+Preto,12.0
155,QS-LM-M02-Preto+Chumbo-37-42,QS-LM-M02-Preto+Chumbo-37-42,12.0
156,QS-LM-M02-Preto+Cinza-37-42,QS-LM-M02-Cinza+Preto,12.0
157,QS-LM-M02-Preto+Cinza-37-42,QS-LM-M02-Preto+Cinza-37-42,12.0
158,LG-M10-Cinza-Branca-Chumbo-38-46,LG-M01-Kit 3 Pares Cinza-Branco-Chumbo-40-46,12.0
159,LG-M10-Cinza-Branca-Chumbo-38-46,LG-M01-Kit 3 Pares Cinza-Branco-Chumbo-40-46,12.0
160,LG-M10-Chumbo-Preta-Cinza-38-46,LG-M01-Kit 3 Pares Chumbo-Preto-Cinza-40-46,12.503700000000002
161,LG-M10-Chumbo-Preta-Cinza-38-46,LG-M10-Chumbo-Preta-Cinza-38-46,12.503700000000002
162,LG-M10-Preta-Chumbo-Branca-38-46,LG-M01-Kit 3 Pares Preto-Chumbo-Branco-40-46,8.3358
163,LG-M10-Preta-Chumbo-Branca-38-46,LG-M10-Preta-Chumbo-Branca-38-46,8.3358
164,SQ-EFCA02-Branco-Rosa-Preto-35-40,SQ-EFCA-Cores Sortidas-34-40-3 Pares,2.5
165,MASG-MC-BRANCO-38-46-KIT-12-PARES,MASG-MC-Branco-38-46-Kit 12 Pares,74.3844
166,QS-LM-M02-KIT-6-PARES-CORES-SORTIDAS-37-42,QS-LM-M02-Kit 6 Pares Cores Sortidas-37-42,36.0
167,QS-LM-M02-Preto+Branco,QS-LM-M02-Preto-Branco-40-46,12.0
168,QS-LM-M02-Preto+Branco,QS-LM-M02-Preto+Branco,12.0
169,QS-LM-M02-Preto+Branco,QS-LM-M02-Preto+Branco-37-42,12.0
170,QS-LM-M02-Preto+Branco,02-QS-LM-02-PRETO-BRANCO,12.0
171,SPTD-FP-Preto-35-40-KIT-6-PARES,SPTD-FP-Preto-35/40-Kit 6 Pares,7.5
172,SPTD-FP-Preto-35-40-KIT-6-PARES,SPTD-FP-Preto-35/40-Kit 6 Pares,7.5
173,MALG-M01-3 Cores-38-46-3 Pares,MALG-M01-3 Cores-38-46-3 Pares,12.5031
174,MALG-M01-3 Cores-38-46-3 Pares,MALG-M01-3 Cores-40-46,12.5031
175,21081-35-36,21081-35,3.7416
176,MASG-MC-Azul-38-46-Kit 3 Pares,MASG-MC-Azul-38-46-Kit 3 Pares,18.642000000000003
177,MALG-M01-Azul-38-46-3 Pares,MALG-M01-Azul-38-46-3 Pares,12.5034
178,MALG-M01-Branca-38-46-6 Pares,MALG-M01-Branca-38-46-6 Pares,25.005000000000003
179,MALG-M01-Verde-38-46-3 Pares,MALG-M01-Verde-38-46-3 Pares,12.5034
180,MASG-MC-Azul Escuro-38-46-Kit 3 Pares,MASG-MC-Azul Escuro-38-46-Kit 3 Pares,18.6504
181,MASG-MC-Azul Escuro-38-46-Kit 3 Pares,MASG-MC,18.6504
182,MASG-MC-Preto-38-46-Kit 3 Pares,MASG-MC-Preto-38-46-Kit 3 Pares,18.7443
183,21080-37-38,21080-37,15.0
184,21080-37-38,21080-38,15.0
185,21028-37,21028-37,15.9996
186,21028-37,21027-Rosa-37CH-35BR,15.9996
187,21013-45,21013-45,50.865399999999994
188,21013-45,21013-45,50.865399999999994
189,21013-45,21013-45,50.865399999999994
190,21013-45,21013-45,50.865399999999994
191,21013-45,21013,50.865399999999994
192,21013-44,21013-44,45.0
193,21013-44,21013-44,45.0
194,21013-44,21013,45.0
195,21013-43,21013-43,15.9996
196,21013-43,21013-43,15.9996
197,21013-43,21013-43,15.9996
198,21013-43,21013,15.9996
199,21013-42,21013-42,39.0
200,21013-42,21013-42,39.0
201,21013-42,21013-42,39.0
202,21013-42,21013-42,39.0
203,21013-42,21013-42,39.0
204,21013-42,21013,39.0
205,21013-41,21013-41,2.4944
206,21013-41,21013-41,2.4944
207,21013-41,21013-44,2.4944
208,21013-41,21013,2.4944
209,21013-41,21013-41,2.4944
210,HM-BAF-Cinza-35-41,HM-BAF-Prateado-1 Par,50.4014
211,HM-BAF-Cinza-35-41,HM-BAF-Prateado-1 Par,50.4014
212,HM-BAF-Cinza-35-41,HM-BAF-Prateado-12 Pares,50.4014
213,MALG-M01-Azul-40-46,MALG-M01-Azul-38-46-1 Par,126.0
214,MALG-M01-Azul-40-46,MALG-M01-Azul-40-46,126.0
215,MALG-M01-Verde -40-46,MALG-M01-Verde-38-46-1 Par,126.0
216,MALG-M01-Verde -40-46,MALG-M01- VERDE,126.0
217,PEBCN-BBML-12-24-Cor-Sortida,PEBCN-BBML 12-24-12-24,30.0
218,MASG-MC-Cores Sortidas-38-46*6,MASG-MC-Cores Sortidas-38-46-Kit 6 Pares,37.3151
219,MASG-MC-Cores Sortidas-38-46*3,MASG-MC-ALEATORIO-3PAR,18.6362
220,MASG-MC-Cores Sortidas-38-46*3,MASG-MC-Cores Sortidas-38-46-Kit 3 Pares,18.6362
221,MALG-MC-LARANJA-3-PARES,MALG-MC-Laranja-40-46-Kit 3 Pares,12.5274
222,MALG-MC-LARANJA-3-PARES,MALG-MC-Laranja-40-46-Kit 3 Pares,12.5274
223,MALG-MC-VERDE-3-PARES,MALG-MC-Verde-40-46-Kit 3 Pares,12.511800000000001
224,MALG-M01-2PRETO-1CINZA,MALG-M01-2PRETO-1CINZA,12.5035
225,MALG-M01-2PRETO-1CINZA,MALG-M01-2 Preto 1 Cinza-38-46,12.5035
226,MALG-M01-2PRETO-1CINZA,MALG-M01-2 Preto 1 Cinza-38-46-3 Pares,12.5035
227,MALG-MC -Azul -40-46--3PC,MALG-MC-Azul-40-46-Kit 3 Pares,12.5229
228,MALG-MC -Azul -40-46--3PC,MALG-MC-Azul-40-46-Kit 3 Pares,12.5229
229,MALG-MC -Vermelho-40-46-3pc,MALG-MC-Vermelho-40-46-Kit 3 Pares,12.5274
230,MALG-M01-Preto-40-46-3pc,MALG-M01-Preto-40-46*3,12.503700000000002
231,MALG-M01-Preto-40-46-3pc,MALG-M01-Preto-37-46-3 Pares,12.503700000000002
232,21011-45,21011-45,30.0
233,21011-45,21011-45,30.0
234,21011-45,21011-45,30.0
235,21011-45,21011-45,30.0
236,21011-45,21011-45,30.0
237,21011-44,21011-44,30.0
238,21011-44,21011-44,30.0
239,21011-44,21009-44,30.0
240,21011-44,21011-44,30.0
241,21011-43,21011-43,56.2392
